,KIC,KOI,Kepler,Period,Rp/R*,Status
6468,6045404,5231.01,               ,78.87516635,0.017782, PPNN
6473,6067545,5236.01,               ,550.8649554,0.017125, PPFP
6474,6115356,5237.01,               ,380.4083633,0.021426, PPNN
6482,6184894,5245.01, Kepler-1627 b ,7.2027745,0.039261, PPPP
6484,6197658,5247.01,               ,282.1010696,0.017619, PPNN
6485,6198670,5248.01,               ,179.3272416,0.014749, PPNN
6486,6203955,5249.01,               ,19.45313135,0.011376, PPPN
6504,6350031,5267.01,               ,5.17810712,0.010518, PPFP
6505,6359881,5268.01,               ,474.3184365,0.023669, PPNN
6506,6359929,5269.01,               ,371.5214889,0.025627, PPNN
6512,6366559,5274.01,               ,55.75969844,0.01044, PPFN
6513,6367663,5275.01,               ,3.78158821,0.008607, PPFN
6514,6368905,5276.01,               ,220.7195958,0.026879, PPPP
6516,6372194,5278.01,               ,281.5920112,0.091497, PPPP
6517,6387557,5279.01,               ,103.7214989,0.015811, PPPP
6519,6425377,5281.01,               ,263.8983948,0.023266, PPNN
6521,6442735,5283.01,               ,18.78211559,0.007573, PPNP
6522,6443093,5284.01,               ,389.3156316,0.079309, PPPP
6526,6511182,5288.01,               ,29.56328043,0.021571, PPPP
6527,6517064,5289.01,               ,181.8124986,0.018601, PPNN
6528,6517200,5290.01,               ,435.7184142,0.025766, PPNN
6535,6543192,5297.01,               ,8.09067798,0.008326, PPPP
6538,6594945,5300.01,               ,188.9338711,0.011962, PPFN
6548,6675757,5310.01,               ,22.29063059,0.010421, PPPN
6558,6719052,5320.01,               ,357.4526539,0.013745, PPNN
6559,6721603,5321.01,               ,215.6362757,0.01123, PPPN
6560,6756369,5322.01,               ,30.92971538,0.012985, PPNN
6562,6765563,5324.01,               ,293.3903008,0.020812, PPNN
6565,6776555,5327.01,               ,5.43357591,0.033973, PPPP
6569,6869373,5331.01,               ,31.50277399,0.013219, PPPP
6571,6879183,5333.01,               ,20.54761815,0.014648, PPPP
6574,6934045,5336.01,               ,265.7093983,0.015191, PPPP
6579,7009548,5341.01,               ,15.18578277,0.015715, PPPN
6582,7018210,5344.01,               ,445.351961,0.016076, PPNN
6596,7125794,5358.01,               ,126.5854474,0.010439, PPNN
6597,7130612,5359.01,               ,2.72023673,0.025929, PPNP
6603,7186436,5365.01,               ,586.0944034,0.021819, PPNN
6607,7198587,5369.01,               ,651.3600333,0.021215, PPNN
6609,7204233,5371.01,               ,33.30326367,0.014748, PPFF
6611,7206422,5373.01,               ,50.55091858,0.011953, PPNN
6613,7213311,5375.01,               ,285.3743764,0.019957, PPPN
6617,7282470,5379.01,               ,520.6581618,0.015897, PPNN
6618,7289139,5380.01,               ,370.1065312,0.022867, PPNN
6622,7377343,5384.01,               ,7.95446841,0.072788, PPPP
6623,7383840,5385.01,               ,331.7906675,0.043492, PPNN
6626,7416306,5388.01,               ,137.3955757,0.011177, PPFP
6628,7440715,5390.01,               ,104.1985005,0.021572, PPNN
